"completion_timestamp","previous_assignee","due_date","description","title","responsible_role","overridden_by","acknowledged_timestamp","event_id","override_flag","assigned_user","override_timestamp","category","progress_notes","status","order","id","created_date","updated_date","created_by_id","created_by","is_sample"
"","","","","Has Operation Support confirmed when they are planning on meeting the location and time they are meeting (This can be done preferably by SMS or Email)","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","16","6a71f9c5fb810ea1b30263e9","2026-08-04T14:40:05.187000","2026-08-04T14:40:05.187000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we schedule an Internal BEO discussion with the instructor and Event Team Lead?","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","15","6a71f9c557807cf29ff8edd9","2026-08-04T14:40:05.120000","2026-08-04T14:40:05.120000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","CC form","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","14","6a71f9c5055b63b46aaa3afa","2026-08-04T14:40:05.033000","2026-08-04T14:40:05.033000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance and Headcount DUE","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","13","6a71f9c4cf45c237bf7faba7","2026-08-04T14:40:04.968000","2026-08-04T14:40:04.968000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance Invoice Number","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","12","6a71f9c4677faaf56f9f45e6","2026-08-04T14:40:04.876000","2026-08-04T14:40:04.876000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we send an event flow reminder email?","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","11","6a71f9c4cfef7a922d22d6a7","2026-08-04T14:40:04.673000","2026-08-04T14:40:04.673000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Final HC","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","10","6a71f9c4fc48b104dc8b1fcb","2026-08-04T14:40:04.609000","2026-08-04T14:40:04.609000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","BEO?","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","9","6a71f9c4cd5da0c71b4a6043","2026-08-04T14:40:04.533000","2026-08-04T14:40:04.533000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","If Yes, How many drink tickets / beverages per person?","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","8","6a71f9c4ffd0fd256159f7a1","2026-08-04T14:40:04.411000","2026-08-04T14:40:04.411000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Interest in consumption on-site Y or N (Includes: drink tickets)","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","7","6a71f9c49780d673f11b96c8","2026-08-04T14:40:04.338000","2026-08-04T14:40:04.338000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
